"City","Vehicle_Count","Average_Range"
"Seattle","368","53.24728260869565"
"Kirkland","226","50.38053097345133"
"Bellevue","205","44.04390243902439"
"Vancouver","138","32.38405797101449"
"Redmond","87","67.73563218390805"
"Kent","62","45.725806451612904"
"Olympia","57","46.68421052631579"
"Bothell","57","70.78947368421052"
"Bainbridge Island","54","65.01851851851852"
"Renton","46","37.34782608695652"
