"Below 100 miles","1071"
"200-300 miles","81"
"200-300 miles","46"
"Below 100 miles","43"
"Below 100 miles","41"
"Below 100 miles","35"
"200-300 miles","28"
"Below 100 miles","28"
"Below 100 miles","28"
"200-300 miles","27"
"Below 100 miles","27"
"Below 100 miles","27"
"200-300 miles","26"
"Below 100 miles","24"
"200-300 miles","22"
"200-300 miles","18"
"Below 100 miles","18"
"Above 300 miles","17"
"100-200 miles","17"
"Below 100 miles","17"
"Below 100 miles","17"
"Below 100 miles","16"
"Below 100 miles","15"
"200-300 miles","14"
"100-200 miles","14"
"Below 100 miles","14"
"Below 100 miles","14"
"100-200 miles","13"
"Below 100 miles","12"
"Below 100 miles","11"
"Below 100 miles","11"
"200-300 miles","10"
"200-300 miles","10"
"Below 100 miles","10"
"Below 100 miles","10"
"100-200 miles","9"
"Below 100 miles","9"
"Below 100 miles","9"
"200-300 miles","8"
"Below 100 miles","8"
"Below 100 miles","8"
"Below 100 miles","8"
"Below 100 miles","7"
"200-300 miles","6"
"Below 100 miles","6"
"Below 100 miles","6"
"Above 300 miles","5"
"100-200 miles","5"
"Below 100 miles","5"
"200-300 miles","4"
"200-300 miles","4"
"Below 100 miles","4"
"Below 100 miles","4"
"Below 100 miles","4"
"200-300 miles","3"
"100-200 miles","3"
"Below 100 miles","3"
"Below 100 miles","3"
"Below 100 miles","3"
"200-300 miles","2"
"200-300 miles","2"
"100-200 miles","2"
"100-200 miles","2"
"Below 100 miles","2"
"Below 100 miles","2"
"Below 100 miles","2"
"Below 100 miles","2"
"Above 300 miles","1"
"200-300 miles","1"
"200-300 miles","1"
"200-300 miles","1"
"100-200 miles","1"
"100-200 miles","1"
"100-200 miles","1"
"100-200 miles","1"
"100-200 miles","1"
"Below 100 miles","1"
"Below 100 miles","1"
"Below 100 miles","1"
"Below 100 miles","1"
"Below 100 miles","1"
"Below 100 miles","1"
"Below 100 miles","1"
"Below 100 miles","1"
