"2010","1"
"2011","6"
"2012","16"
"2013","49"
"2014","32"
"2015","50"
"2016","76"
"2017","67"
"2018","151"
"2019","111"
"2020","130"
"2021","186"
"2022","241"
"2023","504"
"2024","356"
"2025","23"
