"Model_Year","Average_Range"
"2010","245"
"2011","66.66666666666667"
"2012","85.125"
"2013","77.36734693877551"
"2014","83.40625"
"2015","105.4"
"2016","98.10526315789474"
"2017","104.59701492537313"
"2018","165.35099337748343"
"2019","182.47747747747746"
"2020","236.73846153846154"
"2021","7.317204301075269"
"2022","5.950207468879668"
"2023","4.027777777777778"
"2024","7.219101123595506"
"2025","11.26086956521739"
